model,ensemble_size,hidden_layers,hidden_units,weight_decay,data_noise,epochs,optimizer,loss_fn,learning_rate,MPIW,PICP,GNLLL,ensemble_GNLLL,RMSE,ensemble_RMSE,train_time
batch,16,6,128,0.01,,1999,Adam,GaussianNLLLoss,0.001,22.872337423345094,0.953405017921147,2.4504865805308023,"tensor(2.3613, device='cuda:0')",7.253284931182861,7.002697149912517,91.14909982681274
batch,16,6,128,0.001,,1999,Adam,GaussianNLLLoss,0.001,22.896156228998656,0.9498207885304659,2.4507034619649253,"tensor(2.3423, device='cuda:0')",7.335881233215332,7.0317948659261065,91.6529369354248
batch,16,6,128,0.0001,,1999,Adam,GaussianNLLLoss,0.001,24.196770780829972,0.9713261648745519,2.4223724206288657,"tensor(2.3377, device='cuda:0')",7.18063497543335,6.865874290466309,91.99797368049622
batch,16,6,128,1e-05,,1999,Adam,GaussianNLLLoss,0.001,24.160843606490815,0.9605734767025089,2.4108733336130777,"tensor(2.3402, device='cuda:0')",7.206455548604329,6.929235617319743,91.24155139923096
batch,16,6,128,1e-06,,1999,Adam,GaussianNLLLoss,0.001,25.85439702515961,0.96415770609319,2.463167746861776,"tensor(2.3468, device='cuda:0')",7.500954786936442,6.863350073496501,90.75692415237427
batch,16,6,128,0.01,,1999,Adam,GaussianNLLLoss,0.001,50.79615657902106,0.8566308243727598,3.437875827153524,"tensor(3.4344, device='cuda:0')",17.120526631673176,17.116877873738606,100.65895318984985
batch,16,6,128,0.001,,1999,Adam,GaussianNLLLoss,0.001,64.87736090109767,0.9605734767025089,3.34180482228597,"tensor(3.3411, device='cuda:0')",17.12072245279948,17.111860275268555,99.45605134963989
batch,16,6,128,0.0001,,1999,Adam,GaussianNLLLoss,0.001,60.09806796384969,0.996415770609319,2.993900934855143,"tensor(2.9935, device='cuda:0')",14.289183298746744,12.120772361755371,102.395254611969
batch,16,6,128,1e-05,,1999,Adam,GaussianNLLLoss,0.001,24.301881195396504,0.9498207885304659,2.4358983039855957,"tensor(2.3771, device='cuda:0')",7.361170927683513,7.1841451327006025,99.99293231964111
batch,16,6,128,1e-06,,1999,Adam,GaussianNLLLoss,0.001,25.82571028295811,0.974910394265233,2.38475767771403,"tensor(2.3335, device='cuda:0')",7.200893878936768,6.925235907236735,101.69210243225098
