model,ensemble_size,hidden_layers,hidden_units,weight_decay,data_noise,epochs,optimizer,loss_fn,learning_rate,ENCE,GNLLL,RMSE
batch,10,9,128,0.001,,1000,Adam,GaussianNLLLoss,0.001,0.006672236,3.970751206,6.040912787
batch,10,9,128,0.0001,,1000,Adam,GaussianNLLLoss,0.001,0.00606723,4.196672837,6.084911505
batch,10,9,128,1.00E-05,,1000,Adam,GaussianNLLLoss,0.001,0.007755122,4.618985415,6.165274461
batch,10,10,128,0.001,,1000,Adam,GaussianNLLLoss,0.001,0.007921039,4.061803261,6.019360701
batch,10,10,128,0.0001,,1000,Adam,GaussianNLLLoss,0.001,0.00606459,3.990327438,6.097709179
batch,10,10,128,1.00E-05,,1000,Adam,GaussianNLLLoss,0.001,0.005292132,4.188829819,6.022892475
batch,10,9,128,0.01,,1000,Adam,GaussianNLLLoss,0.001,0.006213418,4.37285622,5.993837357
batch,10,10,128,0.01,,1000,Adam,GaussianNLLLoss,0.001,0.007324731,3.933954557,5.93307972
batch,10,9,128,0.01,,2000,Adam,GaussianNLLLoss,0.001,0.011924032,9.231940269,5.82428058
batch,10,9,128,0.001,,2000,Adam,GaussianNLLLoss,0.001,0.01212445,8.614970366,5.99924612
batch,10,9,128,0.0001,,2000,Adam,GaussianNLLLoss,0.001,0.012462804,9.070743084,5.918955803
batch,10,9,128,1.00E-05,,2000,Adam,GaussianNLLLoss,0.001,0.012335517,9.205824852,5.837918917
batch,10,10,128,0.01,,2000,Adam,GaussianNLLLoss,0.001,0.01289052,9.092270851,6.242009958
batch,10,10,128,0.001,,2000,Adam,GaussianNLLLoss,0.001,0.010851044,8.459661166,6.116721153
batch,10,10,128,0.0001,,2000,Adam,GaussianNLLLoss,0.001,0.010094963,8.475510915,5.846505801
batch,10,10,128,1.00E-05,,2000,Adam,GaussianNLLLoss,0.001,0.010861509,7.869781176,6.133578142
anchored_batch,10,6,128,,0.0001,1000,Adam,GaussianNLLLoss,0.001,0.00480916,3.455641747,6.007744471
anchored_batch,10,6,128,,1.00E-05,1000,Adam,GaussianNLLLoss,0.001,0.010480901,7.075397491,5.944034894
anchored_batch,10,8,128,,0.0001,1000,Adam,GaussianNLLLoss,0.001,0.006889387,3.869340102,6.418173949
anchored_batch,10,8,128,,1.00E-05,1000,Adam,GaussianNLLLoss,0.001,0.013993959,8.26837492,6.054938634
anchored_batch,10,10,128,,0.0001,1000,Adam,GaussianNLLLoss,0.001,0.006188143,3.725725969,6.161677202
anchored_batch,10,10,128,,1.00E-05,1000,Adam,GaussianNLLLoss,0.001,0.011756305,8.113072872,6.065714677
anchored_batch,10,6,128,,0.0001,2000,Adam,GaussianNLLLoss,0.001,0.008879848,5.162876685,5.692839781
anchored_batch,10,6,128,,1.00E-05,2000,Adam,GaussianNLLLoss,0.001,0.013204359,15.19325479,5.781888008
anchored_batch,10,8,128,,0.0001,2000,Adam,GaussianNLLLoss,0.001,0.011353688,7.184723377,6.005028884
anchored_batch,10,8,128,,1.00E-05,2000,Adam,GaussianNLLLoss,0.001,0.015565337,14.55362542,5.947098096
anchored_batch,10,10,128,,0.0001,2000,Adam,GaussianNLLLoss,0.001,0.012789492,6.611470381,5.601760705
anchored_batch,10,10,128,,1.00E-05,2000,Adam,GaussianNLLLoss,0.001,0.021443877,15.40241814,5.668970426
anchored_batch,10,20,128,,0.0001,2000,Adam,GaussianNLLLoss,0.001,0.012177449,8.39244175,5.764507135
anchored_batch,10,20,128,,1.00E-05,2000,Adam,GaussianNLLLoss,0.001,0.024905061,15.64795876,5.792701085
anchored_batch,10,30,128,,0.0001,2000,Adam,GaussianNLLLoss,0.001,0.001342244,3.34261473,17.11308988
anchored_batch,10,30,128,,1.00E-05,2000,Adam,GaussianNLLLoss,0.001,0.001783624,3.341408968,17.11381086
anchored_batch,10,40,128,,0.0001,2000,Adam,GaussianNLLLoss,0.001,0.001188093,3.342348178,17.1323452
anchored_batch,10,40,128,,1.00E-05,2000,Adam,GaussianNLLLoss,0.001,0.001163729,3.346267223,17.16711617
