dataset,model,RMSE,PICP,MPIW,train_time,inference_time
power,anchored_batch,4.23529714345932,0.9623824451410659,17.049859791340126,456.0556173324585,"[0.015505552291870117, 0.01667189598083496, 0.015506982803344727, 0.01601576805114746, 0.01607966423034668, 0.020174741744995117, 0.017538785934448242, 0.015562295913696289, 0.016008615493774414, 0.01551198959350586]"
power,batch,4.273775786161423,0.987460815047022,22.08536350166536,333.6372308731079,"[0.016144752502441406, 0.015923738479614258, 0.01655292510986328, 0.016624927520751953, 0.0161435604095459, 0.016507625579833984, 0.01573944091796875, 0.015973567962646484, 0.016512155532836914, 0.015014886856079102]"
power,naive,4.860760390758514,1.0,48.766774527331506,1755.9656567573547,"[0.046508073806762695, 0.04579734802246094, 0.04550766944885254, 0.048998117446899414, 0.04754185676574707, 0.04200029373168945, 0.04151129722595215, 0.04199981689453125, 0.043004751205444336, 0.04529690742492676]"
power,GP,5.1149394215029105,0.7638453500522466,12.197391139302507,87.55178594589233,"[0.3131904602050781, 0.3339979648590088, 0.324662446975708, 0.29946208000183105, 0.3159317970275879, 0.3002970218658447, 0.2991213798522949, 0.29865479469299316, 0.3224484920501709, 0.33257222175598145]"
power,GP_induce,5.80321491194398,0.6927899686520376,11.908797021943574,52.921265840530396,"[0.0946035385131836, 0.09560513496398926, 0.09554934501647949, 0.10383415222167969, 0.09450483322143555, 0.09551215171813965, 0.09551692008972168, 0.09362912178039551, 0.10250043869018555, 0.09563112258911133]"
concrete,anchored_batch,6.97636079788208,0.9223300970873787,24.25635713743932,75.59182858467102,"[0.003999471664428711, 0.004256725311279297, 0.004029273986816406, 0.003999948501586914, 0.0030002593994140625, 0.0039997100830078125, 0.0019724369049072266, 0.0029997825622558594, 0.0020003318786621094, 0.0019998550415039062]"
concrete,batch,6.852493762969971,0.912621359223301,23.38797026699029,50.98512077331543,"[0.0019998550415039062, 0.003000497817993164, 0.001999378204345703, 0.0030024051666259766, 0.001966714859008789, 0.0025038719177246094, 0.0020034313201904297, 0.0030012130737304688, 0.0019986629486083984, 0.003002643585205078]"
concrete,naive,5.593225479125977,0.9805825242718447,26.399283696146846,496.4213857650757,"[0.012325763702392578, 0.013604879379272461, 0.017141342163085938, 0.014516115188598633, 0.01359868049621582, 0.013538122177124023, 0.012567281723022461, 0.013090372085571289, 0.018476009368896484, 0.018015146255493164]"
concrete,GP,7.450886708173538,0.7281553398058253,15.17221039707221,24.493470430374146,"[0.008502721786499023, 0.008003711700439453, 0.007513284683227539, 0.00801539421081543, 0.008509397506713867, 0.01051783561706543, 0.009505748748779297, 0.008510589599609375, 0.008000612258911133, 0.008515119552612305]"
concrete,GP_induce,7.920231093686129,0.6019417475728155,14.903771854141384,5.01038932800293,"[0.003534078598022461, 0.0032699108123779297, 0.004036664962768555, 0.0035386085510253906, 0.003971099853515625, 0.0030291080474853516, 0.003571033477783203, 0.0039997100830078125, 0.003000020980834961, 0.003568887710571289]"
